連番,Year,Season,S,N,Shannon,Simpson,Margalef,Pielou
1,2009.0,Summer,8,427.0,0.3995696489678286,0.15862534210136614,1.1557288463170052,0.1921523836852101
10,2007.0,Summer,19,59.0,2.694196524629052,0.9192760700948004,4.414429112576947,0.9150118388229492
10,2008.0,Summer,28,64.0,3.0365732529676492,0.935546875,6.4921276840003355,0.9112805782763884
10,2009.0,Summer,24,553.0,1.3549450359331203,0.6295890572219915,3.641915469313978,0.4263442686195078
10,2011.0,Summer,27,67.0,2.738863855682357,0.8892849186901314,6.183567350463303,0.8310071059441688
10,2012.0,Summer,21,47.0,2.7426815170487164,0.9117247623358986,5.194606043445431,0.9008577118911262
10,2013.0,Summer,8,13.0,2.031759218569271,0.863905325443787,2.72909871675896,0.9770696496367745
10,2014.0,Summer,27,72.0,2.9378013374783483,0.9282407407407407,6.079501947648392,0.8913673391365268
10,2016.0,Summer,17,25.0,2.7334017778086714,0.9279999999999999,4.970679476476895,0.9647708964603958
10,2017.0,Summer,9,24.0,1.7287752219924015,0.7569444444444444,2.517263843552999,0.7867995105390013
10,2018.0,Summer,12,54.0,1.8129762757675432,0.7469135802469136,2.7575943828289655,0.7295953254108025
10,2019.0,Summer,31,78.0,2.9691275547122737,0.9243918474687706,6.8859318337313,0.864629766480866
10,2020.0,Summer,28,73.0,2.8865739774091,0.9198723963220117,6.29303233612975,0.8662655514073856
10,2021.0,Summer,24,48.0,2.899578881718965,0.9288194444444444,5.941308636568562,0.9123756350601235
10,2022.0,Summer,25,88.0,2.8185384031274823,0.9238119834710744,5.3603293641863266,0.8756281871304835
10,2023.0,Summer,20,99.0,1.7729607977189448,0.6852362003877156,4.134821423524676,0.5918288537899251
11,2007.0,Summer,16,107.0,1.8925076520945998,0.7520307450432352,3.210046961141753,0.6825778511303238
11,2008.0,Summer,15,146.0,2.1353024574748636,0.8543816851191594,2.809210490052869,0.7885017997841285
11,2009.0,Summer,12,79.0,1.666558318597527,0.7258452171126423,2.5174805539307035,0.670672404832475
11,2010.0,Summer,16,142.0,2.1566714516605927,0.8441777425114065,3.0267400023560063,0.7778548020343847
11,2011.0,Summer,23,465.0,1.9545895159854236,0.7569060006937218,3.5818733340807722,0.623375258055201
11,2012.0,Summer,9,42.0,1.315838280868806,0.5623582766439909,2.140371091352432,0.5988638095720046
11,2013.0,Summer,7,23.0,1.8132616328742581,0.8204158790170133,1.913573933422806,0.9318321474167487
11,2014.0,Summer,11,133.0,1.6331542727730946,0.7246311266889027,2.044843780639489,0.6810782319392895
11,2015.0,Summer,12,139.0,1.4203613834889548,0.6327829822472957,2.229214329443426,0.5715954696367096
11,2016.0,Summer,13,149.0,1.7671994367655879,0.7594252511148146,2.398107267006872,0.6889802450191606
11,2017.0,Summer,5,27.0,1.3731530496710267,0.7050754458161865,1.2136523021691166,0.8531879602576788
11,2018.0,Summer,9,18.0,1.9559838465843624,0.8209876543209876,2.767810050089549,0.8902066119047682
11,2019.0,Summer,27,231.0,2.4236892280992475,0.8535447236745939,4.777288584397768,0.7353790028562852
11,2021.0,Summer,10,59.0,1.7807858972574324,0.7888537776501006,2.2072145562884735,0.773385488630034
11,2022.0,Summer,8,36.0,1.7808951781919546,0.8040123456790123,1.9533871929293654,0.8564295473068667
11,2023.0,Summer,7,14.0,1.809514255849282,0.8163265306122449,2.2735390901397072,0.929906376575379
12,2003.0,Summer,19,322.0,1.7895016162146782,0.7336908298290961,3.1171251755278964,0.6077563939604139
12,2004.0,Summer,2,17.0,0.22371807606583377,0.11072664359861584,0.35295612386476116,0.3227569588973983
12,2005.0,Summer,11,130.0,1.3633378581169182,0.6586982248520711,2.054428191887587,0.5685560472897082
12,2007.0,Summer,5,500.0,0.26359586028135373,0.1036720000000001,0.64364476997601,0.1637813165980995
12,2008.0,Summer,4,107.0,0.5537155777342497,0.2667481876146389,0.6420093922283506,0.39942135903008474
12,2010.0,Summer,8,505.0,0.36917763016581406,0.1327634545632781,1.1245777639547219,0.17753691208245326
12,2011.0,Summer,2,13.0,0.2711893730418441,0.14201183431952646,0.3898712452512801,0.3912435636292556
12,2012.0,Summer,9,190.0,0.6888076894384032,0.2689196675900277,1.5246737750730317,0.31348988926451543
12,2014.0,Summer,10,1258.0,0.6647292618163161,0.2970420153624118,1.2609848528558474,0.288688250366448
