年,月,Season,lat_dd,lon_dd,水深,sea_area,study_region,pH,ORP,乾燥減量,強熱減量,COD,TN,TP,TOC,硫化物,礫分,砂分,粘土分,is_censored_礫分,is_estimated_礫分,is_censored_砂分,is_estimated_砂分,is_censored_粘土分,is_estimated_粘土分,is_censored_pH,is_estimated_pH,is_censored_ORP,is_estimated_ORP,is_censored_乾燥減量,is_estimated_乾燥減量,is_censored_強熱減量,is_estimated_強熱減量,is_censored_COD,is_estimated_COD,is_censored_TN,is_estimated_TN,is_censored_TP,is_estimated_TP,is_censored_TOC,is_estimated_TOC,is_censored_硫化物,is_estimated_硫化物,Year,Month,do_nearest,wtemp_nearest,salt_nearest,env_zettaicode,env_dist_km,env_year_matched,env_join_suspect,is_hypoxic
1991,8,Summer,35.608333333333334,139.8983333333333,6.0,100,Tokyo,8.8,-76.0,35.7,4.9,13.9,1.47,0.58,11.3,0.57,0.0,74.4,25.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,8,0.0,21.8,28.74,1212,0.47768825343807475,1991,False,True
1991,8,Summer,35.64388888888889,139.9933333333333,6.0,100,Tokyo,8.3,-130.0,25.0,2.1,4.4,0.47,0.29,2.6,0.08,4.0,97.4,2.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,8,0.0,20.5,31.24,122,0.47760326398878117,1991,False,True
1991,8,Summer,35.60166666666667,140.0641666666667,8.0,100,Tokyo,7.9,-212.0,50.9,6.9,15.6,1.36,0.58,12.0,0.26,0.0,75.7,24.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,8,1.8,20.3,32.28,124,0.47770570703910215,1991,False,True
1991,8,Summer,35.551111111111105,139.9088888888889,17.0,100,Tokyo,7.6,-202.0,67.6,11.0,40.0,4.15,0.69,26.7,0.82,0.1,78.7,21.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,8,2.1,17.9,33.14,1215,0.4778209472004934,1991,False,False
1991,8,Summer,35.53722222222222,140.0225,15.0,100,Tokyo,7.7,-182.0,68.1,10.0,32.5,4.2,0.67,23.5,0.71,0.2,77.9,21.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,8,3.2,19.2,32.85,129,0.47785531385173174,1991,False,False
1991,8,Summer,35.559999999999995,139.82444444444445,16.5,100,Tokyo,7.7,-170.0,63.1,9.7,35.2,3.51,0.78,28.1,1.86,0.0,77.3,22.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,8,0.0,17.6,33.2,1318,0.4778031123312593,1991,False,True
1991,8,Summer,35.46416666666667,139.85611111111112,28.3,100,Tokyo,7.7,-108.0,66.2,10.9,31.2,5.15,0.73,24.0,1.24,0.0,76.2,23.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,8,2.4,17.8,33.5,1326,0.4780288373718018,1991,False,False
1991,7,Summer,34.93333333333333,136.805,5.2,201,Ise,7.8,160.0,19.8,0.9,0.7,0.2,0.15,1.1,0.3,4.8,94.8,0.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,7,6.4,22.5,23.38,2310,0.4636454643677789,1991,False,False
1991,7,Summer,34.72,137.12166666666667,15.0,202,Ise,7.4,-170.0,57.1,8.5,22.0,2.6,0.82,27.0,1.1,0.0,64.5,35.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,7,1.3,19.8,32.76,2359,0.464077457640257,1991,False,True
1991,7,Summer,34.75,137.3,9.0,202,Ise,7.5,-250.0,46.8,6.6,16.0,1.5,0.56,21.0,0.5,8.2,63.8,28.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,7,3.5,22.6,30.68,2361,1.1045482885685012,1991,False,False
1991,7,Summer,34.98388888888889,136.68333333333334,12.0,201,Ise,7.6,-260.0,50.0,7.8,13.0,1.5,0.58,16.0,0.93,0.0,12.8,87.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,7,5.4,22.5,28.4,244,0.4635381402903914,1991,False,False
1991,7,Summer,34.88638888888889,136.66666666666666,12.0,201,Ise,7.7,-230.0,49.0,8.6,12.0,1.9,0.71,19.0,0.73,0.5,52.1,47.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991,7,5.7,23.8,23.9,2411,0.46373887583865075,1991,False,False
